x-axis,1,2,3
second,Volt,Volt,Volt
+30.06000E-03,+1.19375002E+00,+656.25000E-03,+568.24994E-03
+30.07000E-03,+1.85000002E+00,+593.75000E-03,+661.99994E-03
+30.08000E-03,+2.35000002E+00,+968.75000E-03,+1.19324994E+00
+30.09000E-03,+2.50625002E+00,+1.68750000E+00,+1.94324994E+00
+30.10000E-03,+2.19375002E+00,+2.34375000E+00,+2.56824994E+00
+30.11000E-03,+1.63125002E+00,+2.65625000E+00,+2.66199994E+00
+30.12000E-03,+1.03750002E+00,+2.50000000E+00,+2.31824994E+00
+30.13000E-03,+693.75002E-03,+1.87500000E+00,+1.59949994E+00
+30.14000E-03,+850.00002E-03,+1.12500000E+00,+911.99994E-03
+30.15000E-03,+1.38125002E+00,+656.25000E-03,+568.24994E-03
+30.16000E-03,+1.97500002E+00,+656.25000E-03,+755.74994E-03
+30.17000E-03,+2.41250002E+00,+1.15625000E+00,+1.38074994E+00
+30.18000E-03,+2.44375002E+00,+1.84375000E+00,+2.13074994E+00
+30.19000E-03,+2.06875002E+00,+2.46875000E+00,+2.66199994E+00
+30.20000E-03,+1.41250002E+00,+2.65625000E+00,+2.63074994E+00
+30.21000E-03,+881.25002E-03,+2.34375000E+00,+2.13074994E+00
+30.22000E-03,+693.75002E-03,+1.62500000E+00,+1.38074994E+00
+30.23000E-03,+1.00625002E+00,+968.75000E-03,+755.74994E-03
+30.24000E-03,+1.60000002E+00,+625.00000E-03,+599.49994E-03
+30.25000E-03,+2.25625002E+00,+812.50000E-03,+943.24994E-03
+30.26000E-03,+2.53750002E+00,+1.40625000E+00,+1.66199994E+00
+30.27000E-03,+2.31875002E+00,+2.15625000E+00,+2.34949994E+00
+30.28000E-03,+1.78750002E+00,+2.59375000E+00,+2.66199994E+00
+30.29000E-03,+1.13125002E+00,+2.56250000E+00,+2.47449994E+00
+30.30000E-03,+725.00002E-03,+2.03125000E+00,+1.78699994E+00
+30.31000E-03,+787.50002E-03,+1.31250000E+00,+1.03699994E+00
+30.32000E-03,+1.25625002E+00,+750.00000E-03,+599.49994E-03
+30.33000E-03,+1.94375002E+00,+656.25000E-03,+693.24994E-03
+30.34000E-03,+2.41250002E+00,+1.06250000E+00,+1.25574994E+00
+30.35000E-03,+2.47500002E+00,+1.78125000E+00,+2.09949994E+00
+30.36000E-03,+2.03750002E+00,+2.40625000E+00,+2.59949994E+00
+30.37000E-03,+1.38125002E+00,+2.62500000E+00,+2.63074994E+00
+30.38000E-03,+850.00002E-03,+2.28125000E+00,+2.09949994E+00
+30.39000E-03,+725.00002E-03,+1.65625000E+00,+1.34949994E+00
+30.40000E-03,+1.06875002E+00,+968.75000E-03,+786.99994E-03
+30.41000E-03,+1.69375002E+00,+656.25000E-03,+630.74994E-03
+30.42000E-03,+2.31875002E+00,+875.00000E-03,+1.03699994E+00
+30.43000E-03,+2.50625002E+00,+1.50000000E+00,+1.78699994E+00
+30.44000E-03,+2.22500002E+00,+2.18750000E+00,+2.38074994E+00
+30.45000E-03,+1.63125002E+00,+2.59375000E+00,+2.63074994E+00
+30.46000E-03,+1.00625002E+00,+2.43750000E+00,+2.28699994E+00
+30.47000E-03,+725.00002E-03,+1.87500000E+00,+1.59949994E+00
+30.48000E-03,+912.50002E-03,+1.12500000E+00,+911.99994E-03
